ID,Datum,Uhrzeit,Luftfeuchtigkeit,Temperatur_in_C°,Abweichung,Differenz
44,27.11.2023,11:21:07,31.9,23.8,+,1.8
45,27.11.2023,11:22:08,31.3,24.0,+,2.0
46,27.11.2023,11:23:20,31.3,24.3,+,2.3
47,27.11.2023,11:24:28,30.9,24.4,+,2.4
48,27.11.2023,11:25:32,30.5,24.6,+,2.6
49,27.11.2023,11:26:40,30.3,24.9,+,2.9
50,27.11.2023,11:27:42,30.3,24.6,+,2.6
51,27.11.2023,11:28:43,31.7,23.1,+,1.1
52,27.11.2023,11:29:49,32.9,21.6, ,   
53,27.11.2023,11:33:13,29.8,21.7, ,   
54,27.11.2023,11:34:17,28.8,25.9,+,3.9
55,27.11.2023,11:35:20,28.0,26.8,+,4.8
56,27.11.2023,11:36:21,27.8,26.9,+,4.9
57,27.11.2023,11:37:27,27.8,26.2,+,4.2
58,27.11.2023,11:38:28,28.5,26.2,+,4.2
59,27.11.2023,11:39:34,30.0,24.1,+,2.1
60,27.11.2023,11:40:43,30.5,24.1,+,2.1
61,27.11.2023,11:41:49,32.2,22.3,+,0.3
62,27.11.2023,11:43:00,33.1,21.9, ,   
63,27.11.2023,11:44:01,33.4,21.7, ,   
64,27.11.2023,11:45:07,34.0,21.2, ,   
65,27.11.2023,11:46:19,34.5,21.2, ,   
66,27.11.2023,11:47:20,34.5,21.1, ,   
67,27.11.2023,11:48:21,34.7,21.0, ,   
68,27.11.2023,11:49:27,35.0,20.9, ,   
69,27.11.2023,11:50:43,35.9,20.6, ,   
70,27.11.2023,11:51:44,35.8,20.7, ,   
71,27.11.2023,11:52:46,35.6,21.1, ,   
72,27.11.2023,11:53:47,35.4,21.2, ,   
73,27.11.2023,11:54:48,35.3,21.2, ,   
74,27.11.2023,11:55:49,35.4,21.3, ,   
75,27.11.2023,11:57:10,35.2,21.3, ,   
76,27.11.2023,11:58:11,35.2,21.3, ,   
77,27.11.2023,11:59:15,35.2,21.3, ,   
78,27.11.2023,12:00:21,35.5,21.3, ,   
79,27.11.2023,12:01:22,35.7,21.4, ,   
80,27.11.2023,12:02:24,35.7,21.4, ,   
81,27.11.2023,12:03:35,34.9,21.5, ,   
82,27.11.2023,12:04:41,34.7,21.5, ,   
83,27.11.2023,12:05:42,35.6,21.4, ,   
84,27.11.2023,12:06:52,35.2,21.5, ,   
85,27.11.2023,12:07:55,34.9,21.5, ,   
86,27.11.2023,12:09:04,34.7,21.5, ,   
87,27.11.2023,12:10:05,34.8,21.4, ,   
88,27.11.2023,12:11:06,34.8,21.3, ,   
89,27.11.2023,12:12:07,34.8,21.3, ,   
90,27.11.2023,12:13:19,35.2,21.3, ,   
91,27.11.2023,12:14:20,35.2,21.3, ,   
92,27.11.2023,12:15:29,35.0,21.3, ,   
93,27.11.2023,12:16:35,34.9,21.3, ,   
94,27.11.2023,12:17:36,35.0,21.3, ,   
95,27.11.2023,12:18:47,35.1,21.3, ,   
96,27.11.2023,12:19:48,35.2,21.3, ,   
97,27.11.2023,12:20:52,35.3,21.3, ,   
98,27.11.2023,12:21:32,35.3,21.3, ,   
99,27.11.2023,12:22:35,35.3,21.3, ,   
100,27.11.2023,12:23:46,35.2,21.4, ,   
101,27.11.2023,12:24:58,35.0,21.3, ,   
102,27.11.2023,12:26:09,35.3,21.3, ,   
103,27.11.2023,12:27:10,35.4,21.3, ,   
104,27.11.2023,12:28:36,35.5,21.5, ,   
105,27.11.2023,12:29:37,35.4,21.5, ,   
106,27.11.2023,12:30:41,35.2,21.4, ,   
107,27.11.2023,12:31:42,35.1,21.6, ,   
108,27.11.2023,12:32:46,34.8,21.5, ,   
109,27.11.2023,12:33:47,34.8,21.6, ,   
110,27.11.2023,12:34:51,35.0,21.5, ,   
111,27.11.2023,12:35:52,35.2,21.5, ,   
112,27.11.2023,12:36:58,35.2,21.5, ,   
113,27.11.2023,12:37:59,35.1,21.4, ,   
114,27.11.2023,12:39:13,35.0,21.3, ,   
115,27.11.2023,12:40:14,35.0,21.4, ,   
116,27.11.2023,12:41:28,35.2,21.3, ,   
117,27.11.2023,12:42:52,35.2,21.6, ,   
118,27.11.2023,12:44:08,34.9,21.5, ,   
119,27.11.2023,12:45:19,34.9,21.6, ,   
120,27.11.2023,12:46:20,34.9,21.6, ,   
121,27.11.2023,12:47:21,35.0,21.5, ,   
122,27.11.2023,12:48:14,35.0,21.6, ,   
123,27.11.2023,12:53:21,34.9,21.6, ,   
124,27.11.2023,12:55:00,34.6,21.8, ,   
125,27.11.2023,12:56:07,34.6,21.7, ,   
126,27.11.2023,12:57:05,34.9,21.8, ,   
127,27.11.2023,12:58:11,35.2,21.7, ,   
128,27.11.2023,12:59:20,35.0,21.7, ,   
129,27.11.2023,13:00:29,34.8,21.6, ,   
130,27.11.2023,13:01:35,35.1,21.4, ,   
131,27.11.2023,13:02:49,35.6,21.4, ,   
132,27.11.2023,13:03:50,35.5,21.4, ,   
133,27.11.2023,13:04:56,35.2,21.2, ,   
134,27.11.2023,13:05:24,35.2,21.2, ,   
135,27.11.2023,13:06:32,35.3,21.1, ,   
136,27.11.2023,13:07:33,35.0,21.7, ,   
137,27.11.2023,13:07:57,34.6,21.8, ,   
138,27.11.2023,13:09:07,34.1,22.0, ,   
139,27.11.2023,13:10:08,34.0,22.0, ,   
140,27.11.2023,13:10:26,33.8,21.9, ,   
141,27.11.2023,13:12:13,33.6,21.9, ,   
142,27.11.2023,13:13:25,33.1,22.0, ,   
143,27.11.2023,13:13:35,33.0,22.0, ,   
144,27.11.2023,13:14:59,33.2,21.9, ,   
145,27.11.2023,13:15:49,33.2,21.9, ,   
146,27.11.2023,13:16:52,33.3,21.8, ,   
147,27.11.2023,13:17:10,33.2,22.0, ,   
148,27.11.2023,13:17:49,33.1,21.9, ,   
149,27.11.2023,13:18:52,33.0,21.9, ,   
150,27.11.2023,13:19:53,32.9,21.9, ,   
151,27.11.2023,13:20:57,32.9,21.9, ,   
152,27.11.2023,13:21:56,32.9,21.8, ,   
153,27.11.2023,13:22:40,33.0,21.8, ,   
154,27.11.2023,13:23:33,33.1,21.9, ,   
155,27.11.2023,13:24:41,33.0,21.9, ,   
156,27.11.2023,13:25:12,32.6,22.1,+,0.1
157,27.11.2023,13:25:44,31.8,23.4,+,1.4
158,27.11.2023,13:26:56,30.2,25.0,+,3.0
159,27.11.2023,13:27:17,29.7,25.0,+,3.0
160,27.11.2023,13:27:45,29.3,25.3,+,3.3
161,27.11.2023,13:28:51,28.1,25.7,+,3.7
162,27.11.2023,13:29:55,27.1,26.3,+,4.3
163,27.11.2023,13:30:58,27.0,26.2,+,4.2
164,27.11.2023,13:32:07,27.6,26.1,+,4.1
165,27.11.2023,13:34:21,27.6,25.8,+,3.8
166,27.11.2023,13:35:30,25.5,26.9,+,4.9
167,27.11.2023,13:36:31,24.5,28.5,+,6.5
168,27.11.2023,13:37:32,23.7,29.1,+,7.1
169,27.11.2023,13:38:33,23.7,29.3,+,7.3
170,27.11.2023,13:39:34,23.7,29.5,+,7.5
171,27.11.2023,13:40:40,23.8,30.3,+,8.3
172,27.11.2023,13:41:41,23.7,30.3,+,8.3
173,27.11.2023,13:42:43,23.1,30.6,+,8.6
174,27.11.2023,13:43:46,22.2,31.7,+,9.7
175,27.11.2023,13:44:55,21.8,31.7,+,9.7
176,27.11.2023,13:46:03,21.3,31.8,+,9.8
177,27.11.2023,13:47:04,21.1,31.9,+,9.9
178,27.11.2023,13:49:44,20.6,32.0,+,10.0
179,27.11.2023,13:50:50,20.5,31.8,+,9.8
180,27.11.2023,13:51:54,19.9,33.1,+,11.1
181,27.11.2023,13:52:32,19.7,34.0,+,12.0
182,27.11.2023,13:53:49,19.8,34.4,+,12.4
183,27.11.2023,14:33:31,36.9,34.4,+,12.4
184,27.11.2023,14:34:38,37.1,21.1, ,   
185,27.11.2023,14:35:39,36.6,20.7, ,   
186,27.11.2023,14:36:40,36.7,20.6, ,   
187,27.11.2023,14:37:41,36.9,20.6, ,   
188,27.11.2023,14:38:44,36.3,20.5, ,   
189,27.11.2023,14:39:46,36.1,20.5, ,   
190,27.11.2023,14:40:47,36.0,20.5, ,   
191,27.11.2023,14:41:48,36.0,20.4, ,   
192,27.11.2023,14:42:49,36.1,20.4, ,   
193,27.11.2023,14:43:50,36.2,20.4, ,   
194,27.11.2023,14:44:51,36.2,20.4, ,   
195,27.11.2023,14:45:52,36.2,20.4, ,   
196,27.11.2023,14:46:53,36.2,20.4, ,   
197,27.11.2023,14:52:11,24.6,23.3,+,1.3
198,27.11.2023,14:53:17,24.1,30.5,+,8.5
199,27.11.2023,14:54:21,23.4,30.9,+,8.9
200,27.11.2023,14:55:22,23.2,31.0,+,9.0
201,27.11.2023,14:56:23,23.0,30.8,+,8.8
202,27.11.2023,14:57:37,24.8,27.5,+,5.5
203,27.11.2023,14:58:47,28.9,24.8,+,2.8
204,27.11.2023,14:59:48,30.0,24.8,+,2.8
205,27.11.2023,15:00:49,31.6,23.5,+,1.5
206,27.11.2023,15:03:14,32.5,22.9,+,0.9
207,27.11.2023,15:04:26,33.5,22.2,+,0.2
208,27.11.2023,15:04:42,34.2,22.2,+,0.2
209,27.11.2023,15:06:13,34.3,22.2,+,0.2
210,27.11.2023,15:19:02,34.3,21.6, ,   
211,27.11.2023,15:20:06,34.4,21.6, ,   
212,27.11.2023,15:21:07,34.6,21.6, ,   
213,27.11.2023,15:22:08,34.6,21.7, ,   
214,27.11.2023,15:23:09,34.8,21.8, ,   
215,27.11.2023,15:24:13,35.1,21.8, ,   
216,27.11.2023,15:25:21,35.0,21.7, ,   
217,27.11.2023,15:26:25,34.9,21.7, ,   
218,27.11.2023,15:27:31,35.1,21.8, ,   
219,27.11.2023,15:28:35,35.0,21.7, ,   
220,27.11.2023,15:28:58,34.6,21.7, ,   
221,27.11.2023,15:30:02,34.7,21.8, ,   
222,27.11.2023,15:30:49,34.7,21.7, ,   
